time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,4.0027850310831556e-08,1.7112823051618577e-08,7.001884339505588,2.2794391453473395e-05,6.283123222185257,0.0,4.248130025285669e-06,1.680526575541784e-06,0.06280934211208612,0.0011291593142225824,-0.0031891763792660987,0.0,424.8077093318314,424.5342268126857,425.15384104030767,425.25054874219023
0.12000000000000001,7.633261677899907e-07,7.578088008790261e-07,7.006703197158005,6.2829121149879725,0.0007447774611817337,0.0,-1.964336855855481e-05,1.631236993608063e-05,0.09781652434639694,-0.021220766352524255,0.034735686582118674,0.0,414.4414434031538,417.76089540700616,416.42583117141527,414.4665824222452
0.18,-2.6716102213692625e-05,-1.016980051967253e-05,7.0181499726150856,6.281518953733205,0.0024269388757769406,0.0,-0.001118600760570874,-0.000533133998576876,0.2837137397967963,-0.027549865717935145,0.009208930469992346,0.0,464.78587197419654,462.78145259946086,463.2159278617154,462.7180044274601
0.23999999999999996,-0.00016030384165928254,-9.277753690896506e-05,7.043785941292322,6.280564421496077,0.003004559383495753,0.0,-0.0034073828296700393,-0.0023807344706388463,0.5707189602700677,0.0007146116181103966,0.010450333635145624,0.0,492.7237582906421,492.81537779589434,491.7836866538143,493.872513597236
0.3,-0.0004179510891918627,-0.00027944152403564903,7.07731944089233,6.281077975218139,0.003975552479222877,0.0,-0.005249397845950434,-0.0038153111122395354,0.5470760557753449,0.020865050399932195,0.02570837810716533,0.0,394.92728718957153,396.33188952976985,395.59800447563816,397.44879168276407
0.36000000000000004,-0.0008360067793411513,-0.0005518158046995175,7.116690874024043,0.00022432084558587917,0.0054563054896208385,0.0,-0.008866010160355308,-0.005033263036487233,0.7651838158986293,0.061253403934603094,0.02253736010691658,0.0,473.7666074626009,473.52281966098724,471.2710478971322,474.3826535534772
0.4200000000000001,-0.0015114003014254822,-0.0008310291053512593,7.170070753186714,0.003952445643378155,0.00684979389126017,0.0,-0.013816357076483671,-0.0038148512720787868,1.0139565720038886,0.0638427718288493,0.02456528243965548,0.0,482.8777617419865,483.0306984676688,481.8001358098324,481.9982898598642
0.48000000000000015,-0.0025028637806789058,-0.0009537960110578798,7.235999148464624,0.007352517594257257,0.007791551035237987,0.0,-0.019381768747773524,0.0001352283799194885,1.183493044504004,0.03574751424410824,-0.015258856814054594,0.0,460.1827965679183,457.0199332717417,461.47112288985477,459.2502384050753
0.5400000000000001,-0.003845960588424347,-0.0007625269426517748,7.31296368174112,0.009651756686897883,0.007054395357453558,0.0,-0.02529085101731153,0.00649819756183315,1.3817715033283569,0.04302445837776786,-0.006919672149043618,0.0,467.9393666895486,468.5881338505767,468.34445072193483,468.91065791159514
0.6000000000000002,-0.00551886681388837,-0.00014672917606188123,7.40050143949046,0.012353336231935685,0.006475087993827344,0.0,-0.03041738151874345,0.014317334334833893,1.5359564900224516,0.04875520997147365,-0.015780318918787742,0.0,456.21391349223467,455.5060672018715,455.22850227721796,455.68790645422445
0.6600000000000003,-0.0074765296595268385,0.0009853337925436595,7.496061664600016,0.016229333105910015,0.005283267862733254,0.0,-0.03472759775364529,0.023781118083435877,1.6492232444751613,0.08520618643526094,-0.029627385646893812,0.0,443.85318370099776,442.7154045956448,442.08264352409986,445.07849826292113
0.7200000000000003,-0.009665408881483076,0.0027774003911024076,7.598602079047913,0.021593641085466686,0.003379488523936658,0.0,-0.03804157603557594,0.036501849259088816,1.7686041784222544,0.09669727699871364,-0.0363049226985014,0.0,445.50836551827103,444.96171758360043,445.6964964343699,446.64118229059375
0.7800000000000004,-0.012017693914155598,0.005499461978354979,7.7105220717773175,0.027445064877785086,0.0009904400864328977,0.0,-0.04010395562713975,0.05490107085671141,1.9617355774511096,0.09912621898659289,-0.047975569093748095,0.0,468.7583823787785,467.8499028611371,468.70319440261994,468.89951585249327
0.8400000000000004,-0.014434032663257669,0.009416685122583045,7.832392882641477,0.03337706261265261,6.2813487066591325,0.0,-0.04013333140127836,0.07630575359121687,2.100360831724891,0.09834274541748839,-0.045454409885708945,0.0,452.5462950759842,452.7478832588327,452.93805104635874,452.88324438909535
0.9000000000000005,-0.016800824517099834,0.014607002161640105,7.958505657900658,0.03902378391929773,6.2789390952430715,0.0,-0.038536042597611106,0.09721208050302406,2.103373021425808,0.08392564481764794,-0.03125463875855846,0.0,409.14972590790586,410.41090610972986,409.98278688852713,408.70813332427997
0.9600000000000005,-0.019001674630769738,0.021408623874258643,8.091288938105263,0.04375306362183995,6.277082848292363,0.0,-0.03460432431341126,0.130078718853861,2.3222908569523817,0.06591739254235388,-0.030310608959822738,0.0,478.295356894079,478.36699242702406,477.24360479195957,475.8715885627488
1.0200000000000005,-0.02094992701419449,0.030098920987755653,8.232830015827105,0.048728119526525226,6.2750901093946325,0.0,-0.03015214601177757,0.1600406373374701,2.395569787185867,0.10449825500511395,-0.03975823548599685,0.0,434.1842932106571,433.3904814464041,432.2618898385024,435.50610317639655
1.0800000000000005,-0.02255502449778791,0.04089921323983779,8.38290095751416,0.05475224183238847,6.273335656087948,0.0,-0.023116361716189186,0.20067514782566695,2.606295266129372,0.09060946055810785,-0.013817142376194205,0.0,475.0888091765485,477.07327356081,477.1311719911353,476.07756817502457
1.1400000000000006,-0.02372584496565886,0.05414557105367835,8.543229092771572,0.05999075079282967,6.272732482872719,0.0,-0.015838517027024844,0.24142232809536748,2.737631741134146,0.07972403616638708,-0.0034244332055673216,0.0,453.23325443369686,454.06786149188804,453.88507616108444,453.0167436671829
